,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
348,2020-03-03,15:18,3:18 PM,293.25,292.59,292.59,293.195,292.961,1037,303800.88,11,AAPL
349,2020-03-03,15:19,3:19 PM,293.385,292.935,293.245,292.935,293.221,5322,1560522.42,25,AAPL
350,2020-03-03,15:20,3:20 PM,292.635,291.74,292.635,291.76,292.085,1362,397820.2,15,AAPL
351,2020-03-03,15:21,3:21 PM,291.82,291.62,291.81,291.82,291.75,300,87525.0,3,AAPL
352,2020-03-03,15:22,3:22 PM,291.99,291.48,291.905,291.48,291.769,610,177979.05,7,AAPL
353,2020-03-03,15:23,3:23 PM,291.23,290.22,291.23,290.22,290.66,457,132831.79,6,AAPL
354,2020-03-03,15:24,3:24 PM,290.53,290.265,290.385,290.3,290.349,1078,312996.28,8,AAPL
355,2020-03-03,15:25,3:25 PM,290.96,290.305,290.34,290.93,290.677,855,248529.245,13,AAPL
356,2020-03-03,15:26,3:26 PM,291.585,290.87,291.24,291.585,291.315,617,179741.71,8,AAPL
357,2020-03-03,15:27,3:27 PM,292.56,291.585,291.63,292.54,292.198,1709,499366.95,19,AAPL
358,2020-03-03,15:28,3:28 PM,292.77,292.08,292.48,292.735,292.387,4340,1268961.38,22,AAPL
359,2020-03-03,15:29,3:29 PM,292.93,292.245,292.835,292.93,292.464,11616,3397267.48,40,AAPL
360,2020-03-03,15:30,3:30 PM,292.67,291.66,292.66,291.66,292.362,1446,422756.13,11,AAPL
