date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,13:32,01:32 PM,197.0,196.72,196.76,196.73,196.86,4835,AMZN
2025-04-02,13:31,01:31 PM,197.14,196.75,197.08,196.77,196.945,5872,AMZN
2025-04-02,13:30,01:30 PM,197.29,197.07,197.14,197.11,197.18,3059,AMZN
2025-04-02,13:29,01:29 PM,197.58,197.21,197.55,197.23,197.395,3878,AMZN
2025-04-02,13:28,01:28 PM,197.66,197.49,197.5,197.58,197.575,6700,AMZN
2025-04-02,13:27,01:27 PM,197.5,197.31,197.31,197.5,197.405,16650,AMZN
2025-04-02,13:26,01:26 PM,197.31,197.11,197.27,197.26,197.21,3509,AMZN
2025-04-02,13:25,01:25 PM,197.35,197.15,197.34,197.15,197.25,2524,AMZN
2025-04-02,13:24,01:24 PM,197.33,197.12,197.19,197.32,197.22500000000002,1276,AMZN
2025-04-02,13:23,01:23 PM,197.33,196.95,196.98,197.14,197.14,3471,AMZN
2025-04-02,13:22,01:22 PM,197.18,196.95,197.13,196.95,197.065,1881,AMZN
2025-04-02,13:21,01:21 PM,197.28,197.09,197.11,197.28,197.185,2952,AMZN
2025-04-02,13:20,01:20 PM,197.24,196.98,197.15,197.07,197.11,2665,AMZN
2025-04-02,13:19,01:19 PM,197.18,196.98,197.18,197.1,197.07999999999998,8968,AMZN
2025-04-02,13:18,01:18 PM,197.36,197.08,197.34,197.09,197.22000000000003,10347,AMZN
2025-04-02,13:17,01:17 PM,197.45,197.32,197.44,197.39,197.385,2961,AMZN
2025-04-02,13:16,01:16 PM,197.52,197.25,197.34,197.47,197.385,4714,AMZN
2025-04-02,13:15,01:15 PM,197.5,197.23,197.36,197.32,197.365,6192,AMZN
2025-04-02,13:14,01:14 PM,197.59,197.2,197.42,197.35,197.39499999999998,15771,AMZN
2025-04-02,13:13,01:13 PM,198.11,197.27,198.11,197.42,197.69,17481,AMZN
2025-04-02,13:12,01:12 PM,198.15,197.87,197.91,198.11,198.01,6454,AMZN
2025-04-02,13:11,01:11 PM,197.96,197.78,197.87,197.92,197.87,5486,AMZN
2025-04-02,13:10,01:10 PM,197.89,197.57,197.58,197.88,197.73,4305,AMZN
2025-04-02,13:09,01:09 PM,198.05,197.46,198.03,197.63,197.755,17484,AMZN
2025-04-02,13:08,01:08 PM,198.05,197.86,197.86,198.03,197.955,9552,AMZN
2025-04-02,13:07,01:07 PM,198.05,197.75,197.95,197.87,197.9,7043,AMZN
2025-04-02,13:06,01:06 PM,198.02,197.8,198.0,197.96,197.91000000000003,7482,AMZN
2025-04-02,13:05,01:05 PM,198.22,197.85,198.22,198.06,198.035,7817,AMZN
2025-04-02,13:04,01:04 PM,198.31,197.74,197.78,198.24,198.025,10179,AMZN
2025-04-02,13:03,01:03 PM,197.81,197.58,197.63,197.78,197.695,5318,AMZN
2025-04-02,13:02,01:02 PM,197.66,197.41,197.43,197.64,197.535,7327,AMZN
